year,station,loc_mn,dc_mn,longitude,latitude,other_theft,arson,assault_gbh,attempted_murder,attempted_sexoff,bank_robbery,burglary_nonres,burglary_res,carjacking,commercial_crime,common_assault,common_robbery,contact_sexoff,dui,drug_crime,illegal_firearms,kidnapping,malicious_damage,murder,rape,robbery_nonres,robbery_res,cash_transit_robbery,aggr_robbery,sexual_assault,sexual_offences,police_detected_sexoff,shoplifting,stock_theft,vehicle_theft,theft_from_vehicle,truck_hijacking,contact_related_crime,crimes_against_property,contact_crime,other_serious_crimes,crimes_dependent_on_police_action_for_detention,total_crime,total_crime_excl_police,crimes_against_property_log,contact_crime_log,contact_related_crime_log,other_serious_crimes_log,crimes_dependent_on_police_action_for_detention_log,total_crime_log,total_crime_excl_police_log,treated_group,year_numeric,treatment_year,time_index,time_centered,time_centered_sq
2022/2023,phuthaditjhaba,maluti a phofung,thabo mofutsanyane,28.82656,-28.51524,496,3,300,29,3,0,181,280,15,46,407,77,6,144,104,11,43,186,55,86,42,44,2,264,10,99,72,142,72,19,108,0,189,660,1231,684,331,2906,2575,6.493753839851686,7.116394144093465,5.247024072160486,6.529418838262226,5.805134968916488,7.9748769005588755,7.853993087224244,0,2022,1,14,10,100
2008/2009,phumalanga,senqu,joe gqabi,27.57751,-30.57749,10,1,54,3,0,0,5,33,0,0,11,3,7,0,37,3,1,13,3,8,2,0,0,4,2,11,0,0,8,1,0,0,14,47,89,10,40,186,146,3.871201010907891,4.499809670330265,2.70805020110221,2.3978952727983707,3.713572066704308,5.231108616854587,4.990432586778736,0,2008,0,0,-4,16
2009/2010,phumalanga,senqu,joe gqabi,27.57751,-30.57749,19,0,77,4,3,0,3,23,0,3,17,3,7,0,32,2,1,9,4,11,1,1,0,3,0,15,0,0,8,0,2,0,9,36,123,22,34,215,181,3.6109179126442243,4.820281565605037,2.302585092994046,3.1354942159291497,3.5553480614894135,5.375278407684165,5.204006687076795,0,2009,0,1,-3,9
2010/2011,phumalanga,senqu,joe gqabi,27.57751,-30.57749,7,0,57,0,1,0,5,19,0,2,5,3,7,0,22,2,1,14,5,18,4,1,0,5,2,22,0,0,4,0,1,0,14,29,97,9,24,159,135,3.4011973816621555,4.584967478670572,2.70805020110221,2.302585092994046,3.2188758248682006,5.075173815233827,4.912654885736052,0,2010,0,2,-2,4
2011/2012,phumalanga,senqu,joe gqabi,27.57751,-30.57749,16,1,56,3,0,0,10,19,0,2,11,3,6,0,15,0,1,16,4,14,1,1,0,4,3,17,0,0,11,1,1,0,17,42,98,18,15,173,158,3.7612001156935624,4.59511985013459,2.8903717578961645,2.9444389791664403,2.772588722239781,5.159055299214529,5.0689042022202315,0,2011,0,3,-1,1
2012/2013,phumalanga,senqu,joe gqabi,27.57751,-30.57749,7,3,59,2,0,0,9,13,0,0,7,0,7,1,14,2,1,8,5,11,2,0,0,2,3,15,0,0,2,0,4,0,11,28,90,7,17,142,125,3.367295829986474,4.51085950651685,2.4849066497880004,2.0794415416798357,2.8903717578961645,4.962844630259907,4.836281906951478,0,2012,1,4,0,0
2013/2014,phumalanga,senqu,joe gqabi,27.57751,-30.57749,3,4,42,1,3,0,12,15,0,0,5,1,6,0,16,1,13,10,5,12,2,2,0,4,4,19,0,0,8,0,0,0,14,35,77,3,17,132,115,3.58351893845611,4.356708826689592,2.70805020110221,1.3862943611198906,2.8903717578961645,4.890349128221754,4.7535901911063645,0,2013,1,5,1,1
2014/2015,phumalanga,senqu,joe gqabi,27.57751,-30.57749,6,1,62,0,2,0,11,12,0,0,8,1,7,0,16,2,13,10,7,6,2,3,0,7,1,10,0,0,10,0,0,0,11,33,95,6,18,152,134,3.5263605246161616,4.564348191467836,2.4849066497880004,1.9459101490553132,2.9444389791664403,5.030437921392435,4.90527477843843,0,2014,1,6,2,4
2015/2016,phumalanga,senqu,joe gqabi,27.57751,-30.57749,5,3,61,0,1,0,11,17,0,1,4,0,6,0,22,1,13,12,8,5,1,0,0,3,6,12,0,0,6,0,2,0,15,36,88,6,23,153,130,3.6109179126442243,4.48863636973214,2.772588722239781,1.9459101490553132,3.1780538303479458,5.0369526024136295,4.875197323201151,0,2015,1,7,3,9
2016/2017,phumalanga,senqu,joe gqabi,27.57751,-30.57749,7,0,49,1,0,0,10,19,0,0,5,0,6,0,13,3,13,7,6,12,0,0,0,3,4,16,0,0,5,1,0,0,7,35,80,7,16,138,122,3.58351893845611,4.394449154672439,2.0794415416798357,2.0794415416798357,2.833213344056216,4.9344739331306915,4.812184355372417,0,2016,1,8,4,16
2017/2018,phumalanga,senqu,joe gqabi,27.57751,-30.57749,3,6,50,2,1,0,7,6,0,0,8,1,6,0,4,0,12,10,5,16,1,0,0,2,4,21,0,0,9,0,0,0,16,22,89,3,4,118,114,3.1354942159291497,4.499809670330265,2.833213344056216,1.3862943611198906,1.6094379124341003,4.77912349311153,4.74493212836325,0,2017,1,9,5,25
2018/2019,phumalanga,senqu,joe gqabi,27.57751,-30.57749,5,1,33,0,0,0,5,5,0,0,6,0,6,0,6,0,13,6,5,8,0,1,0,1,1,9,0,0,4,1,1,0,7,16,54,5,6,81,75,2.833213344056216,4.007333185232471,2.0794415416798357,1.791759469228055,1.9459101490553132,4.406719247264253,4.330733340286331,0,2018,1,10,6,36
2019/2020,phumalanga,senqu,joe gqabi,27.57751,-30.57749,2,2,59,0,1,0,16,5,0,0,8,1,6,0,0,0,13,9,4,8,2,3,0,5,3,12,0,0,3,0,2,0,11,26,89,2,0,117,117,3.295836866004329,4.499809670330265,2.4849066497880004,1.0986122886681098,0.0,4.770684624465665,4.770684624465665,0,2019,1,11,7,49
2020/2021,phumalanga,senqu,joe gqabi,27.57751,-30.57749,13,1,45,2,0,0,3,5,0,2,4,0,6,0,2,0,13,10,3,9,3,1,0,4,1,10,0,0,8,0,0,0,11,16,68,15,2,101,99,2.833213344056216,4.23410650459726,2.4849066497880004,2.772588722239781,1.0986122886681098,4.624972813284271,4.605170185988092,0,2020,1,12,8,64
2021/2022,phumalanga,senqu,joe gqabi,27.57751,-30.57749,16,1,37,1,2,0,0,9,0,1,4,2,6,0,4,0,13,4,7,8,1,2,0,3,0,10,0,0,15,0,0,0,5,24,64,17,4,109,105,3.2188758248682006,4.174387269895637,1.791759469228055,2.8903717578961645,1.6094379124341003,4.700480365792417,4.663439094112067,0,2021,1,13,9,81
2022/2023,phumalanga,senqu,joe gqabi,27.57751,-30.57749,8,1,52,0,0,0,3,9,0,1,4,1,6,0,1,0,13,4,6,11,0,1,0,1,4,15,0,0,8,1,0,0,5,21,79,9,1,110,109,3.091042453358316,4.382026634673881,1.791759469228055,2.302585092994046,0.6931471805599453,4.709530201312334,4.700480365792417,0,2022,1,14,10,100
2008/2009,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2008,0,0,-4,16
2009/2010,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2009,0,1,-3,9
2010/2011,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2010,0,2,-2,4
2011/2012,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2011,0,3,-1,1
2012/2013,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,1,4,0,0
2013/2014,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2013,1,5,1,1
2014/2015,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2014,1,6,2,4
2015/2016,phola,emalahleni,nkangala,29.03488,-26.01096,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2015,1,7,3,9
2016/2017,phola,emalahleni,nkangala,29.03488,-26.01096,30,0,18,1,0,0,12,18,1,3,8,6,6,0,9,2,13,20,1,2,4,2,0,21,0,2,0,4,0,4,8,3,20,42,57,37,11,147,136,3.7612001156935624,4.060443010546419,3.044522437723423,3.6375861597263857,2.4849066497880004,4.997212273764115,4.919980925828125,0,2016,1,8,4,16
2017/2018,phola,emalahleni,nkangala,29.03488,-26.01096,153,1,106,13,2,0,56,118,39,12,93,26,6,18,34,2,14,67,7,17,16,5,0,108,0,19,0,4,17,17,42,9,68,250,372,169,54,845,791,5.5254529391317835,5.921578419643816,4.23410650459726,5.135798437050262,4.007333185232471,6.740519359606223,6.674561391814426,0,2017,1,9,5,25
2018/2019,phola,emalahleni,nkangala,29.03488,-26.01096,156,7,127,6,1,0,66,155,48,23,97,40,7,17,59,14,22,74,9,16,12,2,0,138,11,29,0,5,19,24,65,5,81,329,446,184,90,1049,959,5.799092654460526,6.102558594613569,4.406719247264253,5.220355825078324,4.51085950651685,6.956545443151569,6.866933284461882,0,2018,1,10,6,36
2019/2020,phola,emalahleni,nkangala,29.03488,-26.01096,143,0,118,4,1,0,35,95,22,22,53,12,6,25,81,6,14,51,13,16,10,4,0,90,7,24,0,8,12,23,36,3,51,201,314,173,112,800,688,5.308267697401205,5.752572638825633,3.9512437185814275,5.159055299214529,4.727387818712341,6.68586094706836,6.535241271013659,0,2019,1,11,7,49
2020/2021,phola,emalahleni,nkangala,29.03488,-26.01096,108,1,130,8,0,0,39,66,26,17,77,10,6,16,45,1,21,41,12,12,23,3,0,95,6,18,0,5,7,21,30,5,42,163,350,130,62,705,643,5.099866427824199,5.860786223465865,3.7612001156935624,4.875197323201151,4.143134726391533,6.559615237493242,6.467698726104354,0,2020,1,12,8,64
2021/2022,phola,emalahleni,nkangala,29.03488,-26.01096,122,1,160,11,0,0,38,62,33,34,130,8,6,13,55,12,18,83,10,15,17,8,0,110,3,18,0,4,13,17,20,2,84,150,447,160,80,837,757,5.017279836814924,6.104793232414985,4.442651256490317,5.081404364984463,4.394449154672439,6.731018100482083,6.630683385642372,0,2021,1,13,9,81
2022/2023,phola,emalahleni,nkangala,29.03488,-26.01096,123,3,151,13,0,0,31,92,26,24,149,14,6,4,79,11,38,74,20,11,13,6,0,115,4,15,0,4,11,8,29,9,77,171,477,151,94,893,799,5.147494476813453,6.169610732491456,4.356708826689592,5.0238805208462765,4.553876891600541,6.795705775173514,6.684611727667927,0,2022,1,14,10,100
2008/2009,phokeng,rustenburg,bojanala,27.16254,-25.57313,655,12,568,29,18,1,273,429,9,50,306,96,4,16,246,16,1,243,46,159,75,54,0,281,13,192,0,3,50,160,66,0,255,978,1518,708,278,3482,3204,6.88653164253051,7.325807502595773,5.545177444479562,6.5638555265321274,5.631211781821365,8.155649270366002,8.07246736935477,1,2008,0,0,-4,16
2009/2010,phokeng,rustenburg,bojanala,27.16254,-25.57313,728,13,532,31,10,0,277,458,19,75,379,84,10,21,275,10,1,235,46,137,56,29,0,216,8,161,0,8,78,195,65,1,248,1073,1449,811,306,3639,3333,6.97914527506881,7.27931883541462,5.517452896464707,6.699500340161678,5.726847747587197,8.199738960630786,8.111928063310739,1,2009,0,1,-3,9
2010/2011,phokeng,rustenburg,bojanala,27.16254,-25.57313,595,12,371,27,8,0,201,381,5,99,237,57,5,28,185,9,1,154,37,112,54,20,0,161,9,132,0,3,59,182,85,0,166,908,1022,697,222,2849,2627,6.812345094177479,6.930494765951626,5.117993812416755,6.548219102762372,5.407171771460119,7.955074273262696,7.873978379604501,1,2010,0,2,-2,4
2011/2012,phokeng,rustenburg,bojanala,27.16254,-25.57313,614,9,401,27,6,0,195,359,12,48,261,42,7,14,163,10,1,187,30,116,83,15,0,186,12,135,0,4,58,131,87,1,196,830,1082,666,187,2765,2578,6.7226297948554485,6.9874902470009905,5.2832037287379885,6.502790045915623,5.236441962829949,7.925157512224703,7.8551570058813445,1,2011,0,3,-1,1
2012/2013,phokeng,rustenburg,bojanala,27.16254,-25.57313,561,6,350,33,9,0,199,270,13,86,243,41,4,20,134,10,1,153,37,103,80,33,0,216,9,123,1,10,49,78,79,0,159,675,1043,657,165,2540,2375,6.516193076042964,6.950814768442584,5.075173815233827,6.489204931325317,5.111987788356544,7.840312983320164,7.773173680482536,1,2012,1,4,0,0
2013/2014,phokeng,rustenburg,bojanala,27.16254,-25.57313,655,6,258,60,13,0,169,407,10,55,211,38,4,19,169,11,24,156,56,112,46,32,0,139,5,132,0,5,38,64,78,0,162,756,894,715,199,2564,2365,6.6293632534374485,6.796823718274855,5.093750200806762,6.573680166960646,5.298317366548036,7.84971375760487,7.768956044538332,1,2013,1,5,1,1
2014/2015,phokeng,rustenburg,bojanala,27.16254,-25.57313,704,9,235,48,7,0,232,325,8,20,218,46,5,35,195,30,21,182,40,108,49,19,0,145,8,126,0,1,40,107,95,0,191,799,858,725,260,2642,2382,6.684611727667927,6.755768921984255,5.2574953720277815,6.587550014824796,5.564520407322694,7.879669914604289,7.776115477098742,1,2014,1,6,2,4
2015/2016,phokeng,rustenburg,bojanala,27.16254,-25.57313,627,8,270,44,13,0,133,362,10,82,180,39,5,39,168,37,21,130,36,102,74,24,0,169,9,127,0,21,51,126,85,0,138,757,865,730,244,2596,2352,6.630683385642372,6.763884908562435,4.9344739331306915,6.594413459749778,5.501258210544727,7.862112211662748,7.763446388727362,1,2015,1,7,3,9
2016/2017,phokeng,rustenburg,bojanala,27.16254,-25.57313,539,6,309,32,7,0,179,492,13,111,287,51,5,48,182,35,25,135,42,99,72,45,1,217,4,113,0,20,127,105,118,1,141,1021,1051,670,265,3007,2742,6.92951677076365,6.9584483932976555,4.955827057601261,6.508769136971682,5.583496308781699,8.00903068506973,7.916807490937603,1,2016,1,8,4,16
2017/2018,phokeng,rustenburg,bojanala,27.16254,-25.57313,312,5,324,39,5,0,181,508,23,101,243,45,7,70,270,10,28,136,52,102,50,45,4,194,7,115,0,32,106,134,91,0,141,1020,1012,445,350,2827,2477,6.928537818164665,6.920671504248683,4.955827057601261,6.100318952020064,5.860786223465865,7.947325027016463,7.815207062189088,1,2017,1,9,5,25
2018/2019,phokeng,rustenburg,bojanala,27.16254,-25.57313,320,8,320,40,12,0,183,439,25,97,242,41,4,72,151,6,27,142,52,127,49,38,1,194,9,150,0,27,87,131,87,0,150,927,1039,444,229,2639,2410,6.833031732786201,6.946975992135418,5.017279836814924,6.09807428216624,5.438079308923196,7.878534196140362,7.787796878181171,1,2018,1,10,6,36
2019/2020,phokeng,rustenburg,bojanala,27.16254,-25.57313,344,8,280,34,9,0,199,345,23,85,211,33,6,47,46,25,29,125,52,89,76,27,0,232,10,108,1,40,61,107,75,0,133,787,950,469,119,2325,2206,6.669498089857879,6.85751406254539,4.897839799950911,6.152732694704104,4.787491742782046,7.75190533307861,7.699389406256737,1,2019,1,11,7,49
2020/2021,phokeng,rustenburg,bojanala,27.16254,-25.57313,261,0,298,38,5,0,126,257,18,114,204,52,7,10,34,15,24,153,36,82,43,35,0,156,8,96,0,31,41,135,95,4,153,654,880,406,59,1999,1940,6.484635235635252,6.78105762593618,5.0369526024136295,6.008813185442595,4.0943445622221,7.600902459542082,7.57095858316901,1,2020,1,12,8,64
2021/2022,phokeng,rustenburg,bojanala,27.16254,-25.57313,307,7,405,34,7,0,131,221,25,177,269,45,10,24,51,51,43,172,54,78,54,30,0,194,11,102,0,31,71,147,100,1,179,670,1103,515,126,2414,2288,6.508769136971682,7.00669522683704,5.19295685089021,6.246106765481563,4.844187086458591,7.789454566086673,7.735870319952567,1,2021,1,13,9,81
2022/2023,phokeng,rustenburg,bojanala,27.16254,-25.57313,298,2,494,44,11,0,161,260,29,166,382,51,7,23,43,14,11,194,70,88,43,33,0,221,10,110,3,39,104,171,138,3,196,834,1372,503,83,2792,2709,6.727431724850855,7.224753405767971,5.2832037287379885,6.222576268071369,4.430816798843313,7.934871565945177,7.904703913873747,1,2022,1,14,10,100
2008/2009,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1558,16,537,113,2,0,200,663,157,253,1450,186,55,350,622,95,1,778,48,116,76,77,3,859,51,227,0,373,1,441,467,3,794,1772,3420,2184,1067,8443,7376,7.480428306074208,8.137688184977605,6.678342114654332,7.68937110752969,6.97354301952014,9.041211408968211,8.906122330884303,0,2008,0,0,-4,16
2009/2010,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1567,24,589,105,4,0,146,935,138,338,1801,182,13,191,1085,72,1,883,44,144,39,82,2,711,48,245,0,651,1,458,636,0,907,2176,3677,2556,1348,9757,8409,7.685703061234547,8.210124405164267,6.811244378601294,7.846589975291186,7.207118856207756,9.185842740375783,9.037176752966994,0,2009,0,1,-3,9
2010/2011,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1906,13,548,111,3,0,165,738,89,312,1870,165,43,138,1180,43,1,767,32,149,61,64,2,561,75,292,0,453,0,359,546,2,780,1808,3579,2671,1361,9419,8058,7.500529485395295,8.183118079394745,6.660575149839686,7.890582534656536,7.216709486709457,9.150590367570409,8.994544758324512,0,2010,0,2,-2,4
2011/2012,phoenix,ethekwini,ethekwini,31.00799,-29.70143,2222,26,527,105,7,0,177,769,68,283,1881,173,5,228,1452,45,1,754,30,95,45,52,1,571,81,186,42,395,0,409,584,2,780,1939,3473,2900,1767,10079,8312,7.570443252057374,8.153061946801051,6.660575149839686,7.972810784121404,7.477604243197589,9.21830854162536,9.025575833531088,0,2011,0,3,-1,1
2012/2013,phoenix,ethekwini,ethekwini,31.00799,-29.70143,2166,12,614,99,11,0,190,903,64,315,1786,211,32,174,1785,53,1,804,32,98,41,87,1,641,59,180,17,453,0,314,679,2,816,2086,3563,2934,2029,10612,8583,7.643482907077201,8.1786387885907,6.705639094860003,7.984462732262196,7.615791072035833,9.269834943761822,9.057655284310535,0,2012,1,4,0,0
2013/2014,phoenix,ethekwini,ethekwini,31.00799,-29.70143,2077,9,581,102,1,0,156,930,82,311,1464,221,9,164,2043,51,31,785,40,90,56,99,0,754,49,145,61,413,3,322,713,2,794,2124,3307,2801,2319,10551,8232,7.661527081358517,8.104099056143582,6.678342114654332,7.938088726896952,7.749322464660356,9.26407069439715,9.015905747298426,0,2013,1,5,1,1
2014/2015,phoenix,ethekwini,ethekwini,31.00799,-29.70143,2104,5,529,79,7,0,180,844,75,332,1401,224,16,198,2323,40,66,684,31,82,46,78,0,727,56,155,115,451,2,384,647,0,689,2057,3146,2887,2676,10766,8090,7.629489916393995,8.054204897064407,6.536691597591305,7.968319500012717,7.892452043520352,9.284241179815718,8.99850761180784,0,2014,1,6,2,4
2015/2016,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1919,1,351,76,2,0,151,696,68,341,1426,219,4,264,2653,33,9,742,34,78,52,88,1,609,30,112,168,427,1,438,505,0,743,1791,2827,2687,3118,10423,7305,7.491087593534876,7.947325027016463,6.612041034833092,7.89655270164304,8.045267716607803,9.251866118804681,8.896451207355227,0,2015,1,7,3,9
2016/2017,phoenix,ethekwini,ethekwini,31.00799,-29.70143,2009,4,267,73,6,0,138,678,62,324,950,203,4,309,3224,70,38,531,38,59,46,74,1,649,22,89,195,386,1,323,439,1,535,1579,2269,2719,3798,10365,6567,7.365180126021013,7.727535110475448,6.284134161070802,7.908387159290043,8.242493153187626,9.246286498749653,8.789964651132264,0,2016,1,8,4,16
2017/2018,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1407,1,273,68,1,0,165,723,101,318,1096,186,12,480,2184,46,42,475,33,53,69,67,0,602,20,81,101,360,0,341,493,0,476,1722,2339,2085,2811,8957,6146,7.45182223652793,7.757906208351747,6.1675164908883415,7.643003635560718,7.941651252930556,9.100302266767246,8.72371943690701,0,2017,1,9,5,25
2018/2019,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1330,6,228,70,4,0,162,611,50,456,1093,210,9,106,1712,43,36,431,33,48,66,84,0,555,17,74,47,367,1,267,391,1,437,1432,2263,2153,1908,7756,5848,7.267525427828172,7.724888439323074,6.082218910376446,7.675081857716334,7.554334823725748,8.956350940490871,8.674025985443025,0,2018,1,10,6,36
2019/2020,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1508,10,214,65,1,0,125,684,58,472,1305,250,5,156,1672,36,39,501,43,45,72,89,0,674,23,72,70,376,0,361,439,0,511,1609,2623,2356,1934,8522,6588,7.383989457978509,7.8724551500639794,6.238324625039508,7.7651449029361315,7.5678626054638825,9.050523670522297,8.793156870913819,0,2019,1,11,7,49
2020/2021,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1041,3,162,56,0,0,113,622,49,404,808,136,4,30,1336,19,16,435,41,48,51,70,0,528,24,74,38,291,0,293,315,0,438,1343,1805,1736,1423,6307,4884,7.203405521083095,7.498869733976931,6.0844994130751715,7.459914766241105,7.261225091971921,8.74957394808293,8.493924564476883,0,2020,1,12,8,64
2021/2022,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1470,15,235,153,1,0,180,671,65,606,1062,194,5,48,673,37,6,698,79,43,58,57,0,620,25,72,16,422,0,235,311,0,713,1397,2415,2498,774,7084,6310,7.242797922793756,7.789868559054706,6.570882962339584,7.823645930834952,6.652863029353347,8.865735152124781,8.75004942158424,0,2021,1,13,9,81
2022/2023,phoenix,ethekwini,ethekwini,31.00799,-29.70143,1749,3,243,77,2,0,142,692,53,499,1043,269,4,51,771,60,7,453,56,51,48,62,0,587,30,85,24,484,0,177,357,2,456,1368,2360,2732,906,7366,6460,7.221835825288449,7.766840537085513,6.124683390894205,7.913155185928068,6.810142450115136,8.904765846682814,8.773539383558166,0,2022,1,14,10,100
2008/2009,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,9,0,35,1,0,0,4,17,0,1,17,2,6,0,10,0,1,11,0,2,3,0,0,3,0,2,0,0,12,0,1,0,11,34,60,10,10,114,104,3.5553480614894135,4.110873864173311,2.4849066497880004,2.3978952727983707,2.3978952727983707,4.74493212836325,4.653960350157523,0,2008,0,0,-4,16
2009/2010,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,14,0,26,5,0,0,0,13,0,0,16,2,6,1,9,0,1,8,5,6,0,0,0,0,0,6,0,1,3,0,0,0,8,16,60,15,10,101,91,2.833213344056216,4.110873864173311,2.1972245773362196,2.772588722239781,2.3978952727983707,4.624972813284271,4.5217885770490405,0,2009,0,1,-3,9
2010/2011,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,9,0,27,4,1,0,1,10,0,1,15,0,4,1,12,0,1,5,3,3,0,2,0,2,1,7,0,1,6,1,0,0,5,18,58,11,13,100,87,2.9444389791664403,4.07753744390572,1.791759469228055,2.4849066497880004,2.6390573296152584,4.61512051684126,4.477336814478207,0,2010,0,2,-2,4
2011/2012,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,11,0,35,1,0,0,7,15,0,1,14,0,6,0,0,0,1,9,0,6,0,0,0,0,0,6,0,0,6,0,2,0,9,30,56,12,0,98,98,3.4339872044851463,4.04305126783455,2.302585092994046,2.5649493574615367,0.0,4.59511985013459,4.59511985013459,0,2011,0,3,-1,1
2012/2013,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,9,0,50,3,1,0,5,22,0,0,34,1,6,4,4,0,1,13,4,11,0,0,0,1,1,13,0,0,11,2,0,0,13,40,106,9,8,163,155,3.713572066704308,4.672828834461906,2.6390573296152584,2.302585092994046,2.1972245773362196,5.099866427824199,5.049856007249537,0,2012,1,4,0,0
2013/2014,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,6,1,58,6,1,0,9,9,0,1,26,1,6,0,5,0,13,12,3,7,0,0,0,0,1,9,0,2,7,0,2,0,13,27,103,9,5,144,139,3.332204510175204,4.6443908991413725,2.6390573296152584,2.302585092994046,1.791759469228055,4.976733742420574,4.941642422609304,0,2013,1,5,1,1
2014/2015,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,10,0,43,2,1,0,10,21,0,0,23,5,6,1,9,0,13,19,2,5,2,1,0,4,0,6,0,1,10,1,2,0,19,44,85,11,10,150,140,3.8066624897703196,4.454347296253507,2.995732273553991,2.4849066497880004,2.3978952727983707,5.017279836814924,4.948759890378168,0,2014,1,6,2,4
2015/2016,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,8,0,48,3,1,0,7,18,0,0,20,4,6,1,7,0,13,9,2,5,1,1,0,2,0,6,0,2,5,0,2,0,9,32,85,10,8,135,127,3.4965075614664802,4.454347296253507,2.302585092994046,2.3978952727983707,2.1972245773362196,4.912654885736052,4.852030263919617,0,2015,1,7,3,9
2016/2017,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,19,0,44,1,0,0,4,9,0,2,19,2,6,0,4,0,13,7,2,4,1,0,0,2,1,5,0,3,8,0,3,0,7,24,75,24,4,127,123,3.2188758248682006,4.330733340286331,2.0794415416798357,3.2188758248682006,1.6094379124341003,4.852030263919617,4.820281565605037,0,2016,1,8,4,16
2017/2018,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,18,1,43,5,0,0,8,14,0,5,15,4,6,1,6,0,13,7,2,1,1,0,0,1,0,1,0,1,10,0,4,0,8,36,71,24,7,138,131,3.6109179126442243,4.276666119016055,2.1972245773362196,3.2188758248682006,2.0794415416798357,4.9344739331306915,4.882801922586371,0,2017,1,9,5,25
2018/2019,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,11,1,54,0,0,0,12,17,0,2,19,3,6,1,3,0,13,15,1,2,0,0,0,0,2,4,0,0,21,1,4,0,16,55,81,13,4,153,149,4.02535169073515,4.406719247264253,2.833213344056216,2.6390573296152584,1.6094379124341003,5.0369526024136295,5.0106352940962555,0,2018,1,10,6,36
2019/2020,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,10,1,45,4,1,0,3,26,0,0,22,1,6,1,9,1,13,9,4,7,0,1,0,1,5,13,0,6,8,1,5,0,10,43,90,16,11,160,149,3.784189633918261,4.51085950651685,2.3978952727983707,2.833213344056216,2.4849066497880004,5.081404364984463,5.0106352940962555,0,2019,1,11,7,49
2020/2021,philipstown,renosterberg,pixley ka seme,24.47417,-30.43415,11,0,38,1,1,0,7,18,0,1,34,0,6,1,2,0,12,7,0,0,2,1,0,3,0,1,0,2,14,0,5,0,7,44,77,14,3,138,135,3.8066624897703196,4.356708826689592,2.0794415416798357,2.70805020110221,1.3862943611198906,4.9344739331306915,4.912654885736052,0,2020,1,12,8,64
